iter	Passed	Remaining
0	4	603
1	9	595
2	14	570
3	18	552
4	22	535
5	26	521
6	30	513
7	34	507
8	38	498
9	42	493
10	47	488
11	51	484
12	55	479
13	60	479
14	65	476
15	69	471
16	73	466
17	77	459
18	81	454
19	85	447
20	89	443
21	93	439
22	97	433
23	101	428
24	107	428
25	111	424
26	115	420
27	120	415
28	124	411
29	128	407
30	134	406
31	139	405
32	144	401
33	148	398
34	153	394
35	157	389
36	162	385
37	166	380
38	170	375
39	174	371
40	179	367
41	184	364
42	189	361
43	195	359
44	200	356
45	204	351
46	208	346
47	212	341
48	216	336
49	221	332
50	225	327
51	230	323
52	234	318
53	238	313
54	243	309
55	247	305
56	250	298
57	254	293
58	258	289
59	262	284
60	267	280
61	271	275
62	275	271
63	279	266
64	283	262
65	287	257
66	292	252
67	296	248
68	300	244
69	305	239
70	310	236
71	315	232
72	319	227
73	326	225
74	331	221
75	337	217
76	342	213
77	346	208
78	350	204
79	354	199
80	359	195
81	363	190
82	367	186
83	371	181
84	375	176
85	380	172
86	385	168
87	387	162
88	391	158
89	396	154
90	400	149
91	404	145
92	409	140
93	413	136
94	418	132
95	422	127
96	427	123
97	431	118
98	436	114
99	440	110
100	444	105
101	449	101
102	453	96
103	457	92
104	461	87
105	465	83
106	470	79
107	474	74
108	478	70
109	482	65
110	487	61
111	491	57
112	496	52
113	500	48
114	504	43
115	508	39
116	513	35
117	517	30
118	521	26
119	526	21
120	531	17
121	535	13
122	539	8
123	543	4
124	547	0
